Date,Day Number,Project Number,Counter Number,Location,Direction,Time,AM or PM,Value 01,Value 02
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,3,150,EAST-WEST,15:00,PM,63,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,3,150,EAST-WEST,15:15,PM,57,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,3,150,EAST-WEST,15:30,PM,32,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,3,150,EAST-WEST,15:45,PM,49,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,3,150,EAST-WEST,07:15,AM,76,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,3,150,EAST-WEST,07:30,AM,72,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,3,150,EAST-WEST,07:45,AM,86,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,3,150,EAST-WEST,08:00,AM,71,0
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,14:00,PM,0,39
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,14:15,PM,0,35
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,14:30,PM,0,30
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,14:45,PM,0,45
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,17:00,PM,0,79
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,17:15,PM,0,68
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,17:30,PM,0,74
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,17:45,PM,0,79
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,07:15,AM,0,54
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,07:30,AM,0,52
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,07:45,AM,0,54
50,1,12203-01,4,WBFR US 90 on ramp E of,EAST-WEST,08:00,AM,0,55
Thursday,2,12203-01,4,150,EAST-WEST,14:00,PM,0,39
Thursday,2,12203-01,4,150,EAST-WEST,14:15,PM,0,22
Thursday,2,12203-01,4,150,EAST-WEST,14:30,PM,0,48
Thursday,2,12203-01,4,150,EAST-WEST,14:45,PM,0,51
